ID,Manufacturing Site,First Line Designation,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Unit Price,Weight (Kilograms),Line Item Insurance (USD),Freight Cost (USD)
12844,"Aurobindo Unit III, India",No,30,4000,48040,0.4,See DN-1115 (ID#:11008),94.16,See DN-1115 (ID#:11008)
12845,Inverness Japan,No,100,28,2800,1,See DN-1147 (ID#:11610),5.49,See DN-1147 (ID#:11610)
12846,"Standard Diagnostics, Korea",No,25,12,240,0.8,See DN-1147 (ID#:11610),0.47,See DN-1147 (ID#:11610)
12849,"Cipla, Goa, India",No,30,8000,16000,0.07,See DN-1115 (ID#:11008),31.36,See DN-1115 (ID#:11008)
12850,"Aurobindo Unit III, India",No,60,9599,28797,0.05,See DN-1152 (ID#:11010),56.44,See DN-1152 (ID#:11010)
12851,Mylan (formerly Matrix) Nashik,No,30,2200,29216,0.44,See DN-1152 (ID#:11010),57.26,See DN-1152 (ID#:11010)
12852,"Aurobindo Unit III, India",Yes,60,9408,31987.2,0.06,893,51.18,6269.7
12853,"Aspen-OSD, Port Elizabeth, SA",Yes,30,12696,333270,0.88,1114,533.23,7641.1
12854,Mylan (formerly Matrix) Nashik,No,30,50000,600500,0.4,See DN-861 (ID#:11013),960.8,See DN-861 (ID#:11013)
12857,"Aurobindo Unit III, India",Yes,60,76427,722235.15,0.16,7017,1155.58,5367.09
12858,Mylan (formerly Matrix) Nashik,No,30,27590,293005.8,0.35,See DN-1060 (ID#:11618),574.29,See DN-1060 (ID#:11618)
12859,"Aurobindo Unit III, India",No,30,11549,122650.38,0.35,See DN-1061 (ID#:11019),240.39,See DN-1061 (ID#:11019)
12860,"Aurobindo Unit III, India",No,30,35299,374875.38,0.35,See DN-1062 (ID#:12256),734.76,See DN-1062 (ID#:12256)
12862,"Aurobindo Unit III, India",No,60,6002,20406.8,0.06,See DN-960 (ID#:11945),40,See DN-960 (ID#:11945)
12863,"Aurobindo Unit III, India",Yes,60,7876,12207.8,0.03,521,23.93,4608.92
12864,"Aurobindo Unit III, India",Yes,30,16000,155520,0.32,1364,304.82,Freight Included in Commodity Cost
12865,"Aurobindo Unit III, India",No,60,3231,28303.56,0.15,See DN-1124 (ID#:11620),55.47,See DN-1124 (ID#:11620)
12866,"Aurobindo Unit III, India",Yes,60,67842,773398.8,0.19,7627,1515.86,11492.86
12868,"Aurobindo Unit III, India",Yes,60,28624,267634.4,0.16,2583,524.56,7608.7
12869,"Cipla, Goa, India",Yes,30,8000,16000,0.07,483,31.36,2947.59
12870,"Trinity Biotech, Plc",Yes,20,1067,34144,1.6,297,54.63,3616.67
12871,"Ranbaxy, Paonta Shahib, India",Yes,60,10000,30400,0.05,Weight Captured Separately,59.58,Invoiced Separately
12873,"Aurobindo Unit III, India",No,90,1132,17274.32,0.17,See DN-1166 (ID#:12271),33.86,See DN-1166 (ID#:12271)
12874,"Cipla, Goa, India",No,60,76000,562400,0.12,See DN-1168 (ID#:11031),1102.3,See DN-1168 (ID#:11031)
12875,"Strides, Bangalore, India.",Yes,60,135000,972000,0.12,10053,1905.12,10211.52
12876,"Aurobindo Unit III, India",No,240,1977,31928.55,0.07,See DN-1180 (ID#:11033),62.58,See DN-1180 (ID#:11033)
12877,"Aurobindo Unit III, India",Yes,60,248,793.6,0.05,24,1.56,1547.94
12878,Hetero Unit III Hyderabad IN,Yes,60,1067,3414.4,0.05,60,6.69,1981.1
12879,"Aurobindo Unit III, India",Yes,60,35000,327250,0.16,3162,641.41,15128.37
12883,"Aurobindo Unit III, India",No,60,8346,83.46,0,See DN-1235 (ID#:10769),0.16,See DN-1235 (ID#:10769)
12885,"Aurobindo Unit III, India",No,30,2178,23522.4,0.36,See DN-1244 (ID#:11048),46.1,See DN-1244 (ID#:11048)
12886,"Aurobindo Unit III, India",No,240,806,1531.4,0.01,See DN-1244 (ID#:11048),3,See DN-1244 (ID#:11048)
12887,"Strides, Bangalore, India.",Yes,60,3895,27732.4,0.12,289,54.36,2798.7
12892,"MSD, Haarlem, NL",Yes,180,400,20000,0.28,89,39.2,7329.83
12893,"Aurobindo Unit III, India",Yes,60,3190,36366,0.19,361,71.28,7329.83
12894,"MSD, Haarlem, NL",No,180,400,20000,0.28,See DN-1296 (ID#:10779),39.2,See DN-1296 (ID#:10779)
12896,Hetero Unit III Hyderabad IN,Yes,60,9310,29792,0.05,376,58.39,2342.92
12897,"Aurobindo Unit III, India",Yes,30,22260,244860,0.37,1921,479.93,2448.71
12898,"Aurobindo Unit III, India",No,60,1894,4621.36,0.04,See DN-1332 (ID#:11663),9.06,See DN-1332 (ID#:11663)
12899,"Aurobindo Unit III, India",Yes,60,1268,14455.2,0.19,143,28.33,7445.8
12900,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,30,27941,307351,0.37,1970,602.41,6759.28
12902,"Aurobindo Unit III, India",Yes,240,2757,5789.7,0.01,1038,11.35,11774.5
12903,"Aurobindo Unit III, India",No,100,1260,6300,0.05,See DN-1373 (ID#:11062),12.35,See DN-1373 (ID#:11062)
12904,"Aurobindo Unit III, India",No,60,108,189,0.03,See DN-1374 (ID#:11999),0.37,See DN-1374 (ID#:11999)
12905,"Aurobindo Unit III, India",Yes,60,18180,206343,0.19,2047,404.43,6739.08
12908,"Aurobindo Unit III, India",No,60,2237,5458.28,0.04,See DN-1397 (ID#:11678),10.7,See DN-1397 (ID#:11678)
12909,Mylan (formerly Matrix) Nashik,Yes,60,8784,99698.4,0.19,1118,195.41,7338.54
12910,"Aurobindo Unit III, India",No,30,45964,367712,0.27,See DN-1407 (ID#:11681),720.72,See DN-1407 (ID#:11681)
12911,"Aurobindo Unit III, India",No,240,3181,6043.9,0.01,See DN-1422 (ID#:11682),11.85,See DN-1422 (ID#:11682)
12912,"Aurobindo Unit III, India",Yes,30,29426,201568.1,0.23,2529,395.07,4031.3
12913,"Aurobindo Unit III, India",No,60,5830,14225.2,0.04,See DN-1427 (ID#:11683),27.88,See DN-1427 (ID#:11683)
12914,"Aurobindo Unit III, India",Yes,60,17000,193800,0.19,1914,379.85,9341.49
12915,"Aurobindo Unit III, India",Yes,60,3001,34211.4,0.19,338,67.05,9341.49
12916,Mylan (formerly Matrix) Nashik,Yes,30,240,2820,0.39,22,5.53,9341.49
12917,"Aurobindo Unit III, India",Yes,60,25281,288203.4,0.19,2847,564.88,9341.49
12918,"Aurobindo Unit III, India",Yes,60,16912,192796.8,0.19,1905,377.88,9341.49
12919,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",No,30,22059,137206.98,0.21,See DN-1448 (ID#:12012),268.93,See DN-1448 (ID#:12012)
12920,"Strides, Bangalore, India.",Yes,60,1604,11420.48,0.12,120,22.38,1799.88
12922,ABBVIE (Abbott) Logis. UK,No,300,276,2.76,0,See DN-1473 (ID#:11358),0.01,See DN-1473 (ID#:11358)
12923,ABBVIE (Abbott) Logis. UK,No,300,896,8.96,0,See DN-1473 (ID#:11358),0.02,See DN-1473 (ID#:11358)
12925,"Aurobindo Unit III, India",Yes,60,4410,6438.6,0.02,286,13.88,3842.22
12926,"Aurobindo Unit III, India",Yes,60,12873,37331.7,0.05,1258,80.49,6027.68
12929,Inverness Japan,Yes,100,1,80,0.8,1028,0.17,10083.69
12935,Mylan (formerly Matrix) Nashik,Yes,60,11092,74871,0.11,957,92.62,1869.41
12959,"Alere Medical Co., Ltd.",Yes,100,6280,502400,0.8,2548,516.47,28709.52
12973,"Cipla, Goa, India",Yes,60,298,685.4,0.04,21,0.96,304.62
12981,"Alere Medical Co., Ltd.",Yes,100,90,8010,0.89,39,9.91,1434.98
13004,ABBVIE Ludwigshafen Germany,Yes,60,400,2740,0.11,62,3.22,642.99
13007,"Alere Medical Co., Ltd.",Yes,100,1468,117440,0.8,638,145.27,12922.07
13016,Chembio Diagnostics Sys. Inc.,Yes,30,305,7777.5,0.85,34,10.9,836.8
13020,Premier Medical Corporation,Yes,30,3,49.5,0.55,1,0.07,969.55
13027,Hetero Unit III Hyderabad IN,Yes,30,5300,18550,0.12,2922,19.07,5616.02
13038,"Aurobindo Unit III, India",Yes,30,54768,133633.92,0.08,3237,220.5,10923.46
13064,"Aurobindo Unit III, India",Yes,60,25,1246.3,0.83,Weight Captured Separately,1.28,Freight Included in Commodity Cost
13091,"Aurobindo Unit III, India",Yes,60,3,206.97,1.15,Weight Captured Separately,0.21,Freight Included in Commodity Cost
13093,Mylan (formerly Matrix) Nashik,Yes,30,11500,132135,0.38,1295,163.45,2021.05
13106,Hetero Unit III Hyderabad IN,Yes,30,16000,56800,0.12,1948,58.39,3138.25
13115,"Aurobindo Unit III, India",Yes,30,13,438.41,1.12,Weight Captured Separately,0.54,Freight Included in Commodity Cost
13138,"Alere Medical Co., Ltd.",Yes,100,2744,244216,0.89,1186,342.39,25193.28
13148,ABBVIE Labs North Chicago US,Yes,160,4570,148250.8,0.2,Weight Captured Separately,152.4,Freight Included in Commodity Cost
13151,Inverness Japan,Yes,100,1,77.7,0.78,Weight Captured Separately,0.13,Invoiced Separately
13161,"Aurobindo Unit III, India",Yes,30,56877,265615.59,0.16,4815,572.67,5886.9
13205,Inverness Japan,Yes,100,3500,245000,0.7,893,480.2,12858.12
13231,"Aurobindo Unit III, India",Yes,60,14,389.56,0.46,Weight Captured Separately,0.48,Freight Included in Commodity Cost
13275,Hetero Unit III Hyderabad IN,Yes,30,17760,177600,0.33,2516,209.04,3816.3
13277,Mylan (formerly Matrix) Nashik,Yes,30,1680,13860,0.28,110,27.17,791.43
13302,Mylan (formerly Matrix) Nashik,Yes,30,138422,1211192.5,0.29,13147,2611.33,4781.8
13311,"Alere Medical Co., Ltd.",Yes,100,2000,160000,0.8,957,224.32,18919.56
13379,Mylan (formerly Matrix) Nashik,Yes,30,243800,2801262,0.38,27549,3465.16,24875.46
13476,ABBVIE (Abbott) France,Yes,84,520,5366.4,0.12,149,10.52,Freight Included in Commodity Cost
13481,Mylan (formerly Matrix) Nashik,Yes,30,132,1823.8,0.46,Weight Captured Separately,1.87,Freight Included in Commodity Cost
13487,Mylan (formerly Matrix) Nashik,Yes,30,25000,256000,0.34,3034,263.17,7658.27
13544,ABBVIE (Abbott) Logis. UK,Yes,300,500,15410,0.1,505,15.84,6523.85
13547,"Trinity Biotech, Plc",Yes,20,77,2464,1.6,509,2.53,8021.11
13555,Mylan (formerly Matrix) Nashik,Yes,60,13000,105300,0.13,2672,108.25,2504.64
13568,"Aurobindo Unit III, India",Yes,30,139,1566.38,0.38,Weight Captured Separately,1.61,Freight Included in Commodity Cost
13571,"Trinity Biotech, Plc",Yes,20,18,576,1.6,177,0.59,1692.35
13581,Inverness Japan,Yes,100,377,30160,0.8,172,49.76,4504.46
13608,"Janssen-Cilag, Latina, IT",Yes,120,121,9075,0.62,43,12.72,199
13648,"Alere Medical Co., Ltd.",Yes,100,143,11440,0.8,Weight Captured Separately,13.46,Invoiced Separately
13652,Mylan (formerly Matrix) Nashik,Yes,30,21504,139776,0.22,1849,273.96,4191.83
13696,"Standard Diagnostics, Korea",Yes,1,448,403.2,0.9,71,0.67,844.36
13700,Hetero Unit III Hyderabad IN,Yes,60,35136,284952.96,0.14,4784,292.93,19286.53
13708,"Trinity Biotech, Plc",Yes,20,32,1024,1.6,54,1.05,2734.02
13739,"Aurobindo Unit III, India",Yes,240,1832,3847.2,0.01,3504,4.76,7117.39
13748,Chembio Diagnostics Sys. Inc.,Yes,20,350,9450,1.35,205,18.52,1437.4
13761,ABBVIE Ludwigshafen Germany,Yes,30,174,4047.24,0.78,21,5.67,583.66
13766,Hetero Unit III Hyderabad IN,Yes,30,4000,14200,0.12,Weight Captured Separately,14.6,Invoiced Separately
13809,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,30,4560,82080,0.6,Weight Captured Separately,84.38,Invoiced Separately
13817,"Aurobindo Unit VII, IN",Yes,30,32670,151915.5,0.16,3076,156.17,25730.13
13841,Mylan (formerly Matrix) Nashik,Yes,30,62209,681188.55,0.36,5795,1335.13,63600.4
13842,"Aurobindo Unit III, India",Yes,30,940,1175,0.04,132,1.21,2516.57
13845,"Janssen-Cilag, Latina, IT",Yes,60,33,1671.87,0.84,Weight Captured Separately,1.72,Freight Included in Commodity Cost
13862,Chembio Diagnostics Sys. Inc.,Yes,30,595,16422,0.92,63,19.33,865.67
13874,"Micro labs, Verna, Goa, India",Yes,30,14448,46667.04,0.11,2284,57.73,13257.25
13886,"Janssen-Cilag, Latina, IT",Yes,120,108,3888,0.3,22,4.81,265
13897,"Alere Medical Co., Ltd.",Yes,100,8298,738522,0.89,1427,1218.56,16090.59
13899,"Aurobindo Unit III, India",Yes,90,16,272.7,0.19,Weight Captured Separately,0.28,Freight Included in Commodity Cost
13900,"Alere Medical Co., Ltd.",Yes,100,120,8658,0.72,Weight Captured Separately,10.71,1090.87
13903,"Aurobindo Unit III, India",Yes,30,5925,9243,0.05,394,11.43,3245.39
13904,Mylan (formerly Matrix) Nashik,Yes,60,9800,63602,0.11,2235,65.38,3708.72
13915,"Orasure Technologies, Inc",Yes,100,1000,350000,3.5,2090,432.95,51331.09
13926,"Cipla, Goa, India",Yes,30,19992,156337.44,0.26,1378,337.06,3646.1
13959,"Mylan,  H-12 & H-13, India",Yes,60,10000,19900,0.03,849,20.46,4316.34
13968,"Trinity Biotech, Plc",Yes,20,35,1120,1.6,176,1.39,4124.74
13978,Hetero Unit III Hyderabad IN,Yes,60,9095,62300.75,0.11,1736,77.07,8163.83
13988,"KHB Test Kit Facility, Shanghai China",Yes,1,300,7350,24.5,182,9.09,2581.83
14016,"Micro labs, Verna, Goa, India",Yes,60,7600,15808,0.03,1292,16.25,2800.95
14018,"Hetero, Jadcherla, unit 5, IN",Yes,60,50544,334095.84,0.11,4669,343.45,34778.32
14023,"Aurobindo Unit III, India",Yes,90,100,3297.8,0.37,Weight Captured Separately,6.46,Freight Included in Commodity Cost
14043,"Aurobindo Unit III, India",Yes,30,3528,27342,0.26,395,58.95,3538.57
14079,"Alere Medical Co., Ltd.",Yes,100,2915,0,0,1208,0,20583.37
14097,"Alere Medical Co., Ltd.",Yes,100,3484,278720,0.8,1415,286.52,33228.68
14178,"Standard Diagnostics, Korea",Yes,25,10000,200000,0.8,3334,330,21952.35
14180,"Trinity Biotech, Plc",Yes,20,9500,304000,1.6,2783,312.51,20621.1
14195,Mylan (formerly Matrix) Nashik,Yes,30,1244,17540.4,0.47,175,28.94,5864.56
14200,"Cipla, Goa, India",Yes,60,59,1653.14,0.47,Weight Captured Separately,1.7,Freight Included in Commodity Cost
14210,Mylan (formerly Matrix) Nashik,Yes,60,4000,112000,0.47,655,184.8,5300.24
14230,ABBVIE (Abbott) Logis. UK,Yes,300,400,12328,0.1,454,15.25,7152.99
14240,"Alere Medical Co., Ltd.",Yes,100,70,6230,0.89,Weight Captured Separately,7.33,Invoiced Separately
14241,"Aurobindo Unit III, India",Yes,30,800,6064,0.25,77,6.23,979.14
14252,"Cipla, Goa, India",Yes,60,7445,16676.8,0.04,574,17.14,3868.24
14265,"Aurobindo Unit III, India",Yes,240,263,486.55,0.01,182,0.6,5970.85
14278,"Aurobindo Unit III, India",Yes,60,56000,133280,0.04,2996,287.35,10612.93
14279,Hetero Unit III Hyderabad IN,Yes,30,100986,343352.4,0.11,10579,481.38,41585.93
14286,Chembio Diagnostics Sys. Inc.,Yes,20,1900,55100,1.45,550,68.16,8263.16
14291,"Alere Medical Co., Ltd.",Yes,100,100,8000,0.8,39,8.22,1176.54
14309,ABBVIE Ludwigshafen Germany,Yes,120,3812,231845.84,0.51,824,325.05,3216.15
14323,"Standard Diagnostics, Korea",No,100,112,8400,0.75,See ASN-12145 (ID#:13696),13.86,See ASN-12145 (ID#:13696)
14331,Mylan (formerly Matrix) Nashik,Yes,30,3528,22932,0.22,383,44.95,1162.52
14348,Inverness Japan,Yes,100,2044,181916,0.89,976,300.16,26014.88
14364,"Aurobindo Unit III, India",Yes,60,9,620.91,1.15,Weight Captured Separately,0.64,Freight Included in Commodity Cost
14384,"Aurobindo Unit III, India",Yes,30,20867,32552.52,0.05,1337,40.27,8403.67
14404,"Strides, Bangalore, India.",Yes,60,150000,430500,0.05,9306,710.32,10511.33
14409,"Cipla, Goa, India",Yes,60,159000,443610,0.05,16729,956.42,25199.31
14410,"Novartis Pharma Suffern, USA",Yes,720,1245,48555,0.05,859,104.68,5810.56
14412,"MSD, Haarlem, NL",Yes,60,24,2031.3,1.41,Weight Captured Separately,2.09,Freight Included in Commodity Cost
14431,Roche Madrid,Yes,270,109,17410.04,0.59,27,28.73,2205.25
14433,"Aspen-OSD, Port Elizabeth, SA",Yes,30,100,4669.76,1.56,Weight Captured Separately,10.07,Freight Included in Commodity Cost
14437,ABBVIE (Abbott) Logis. UK,Yes,300,3,51.42,0.06,Weight Captured Separately,0.05,Freight Included in Commodity Cost
14440,GSK Mississauga (Canada),Yes,240,28000,280560,0.04,Weight Captured Separately,604.89,Freight Included in Commodity Cost
14447,"Aurobindo Unit III, India",Yes,30,5745,25909.95,0.15,488,42.75,4232.71
14508,Inverness Japan,Yes,100,2730,218400,0.8,1053,360.36,27236.25
14542,"Aurobindo Unit III, India",Yes,240,6395,19185,0.01,Weight Captured Separately,41.36,Freight Included in Commodity Cost
14564,"Aurobindo Unit III, India",No,60,7,126.22,0.3,Weight Captured Separately,0.13,Freight Included in Commodity Cost
14571,"Alere Medical Co., Ltd.",Yes,100,2744,244216,0.89,1303,342.39,28734.43
14578,"Aurobindo Unit III, India",Yes,90,3680,20240,0.06,6385,25.04,8768.76
14605,"Hetero, Jadcherla, unit 5, IN",Yes,30,71376,231258.24,0.11,5864,286.07,7558.01
14628,ABBVIE Ludwigshafen Germany,No,120,48,1236.47,0.21,Weight Captured Separately,1.53,Freight Included in Commodity Cost
14658,ABBVIE (Abbott) Logis. UK,Yes,300,2265,69807.3,0.1,2272,71.76,14603.71
14665,Inverness Japan,Yes,100,1000,97680,0.98,227,210.6,2486.62
14694,"BMS Meymac, France",Yes,60,6000,57000,0.16,1278,122.89,1742.12
14710,"Micro labs, Verna, Goa, India",Yes,30,29908,89125.84,0.1,2423,91.62,14650.41
14743,"Aurobindo Unit III, India",Yes,60,87500,641375,0.12,4416,1382.8,7334.83
14785,"Alere Medical Co., Ltd.",Yes,100,3200,256000,0.8,1394,316.67,20822.73
14803,"Aurobindo Unit III, India",Yes,240,9720,14677.2,0.01,4365,15.09,Freight Included in Commodity Cost
14811,"KHB Test Kit Facility, Shanghai China",Yes,1,4068,99666,24.5,2712,102.46,37680.04
14820,"Alere Medical Co., Ltd.",Yes,100,2132,170560,0.8,1017,239.13,14959.84
14846,ABBVIE (Abbott) Logis. UK,Yes,300,60,1849.2,0.1,113,2.29,2570.86
14871,Mylan (formerly Matrix) Nashik,Yes,60,1769,3714.9,0.04,1961,4.6,7308.37
14874,GSK Mississauga (Canada),Yes,240,26000,392080,0.06,Weight Captured Separately,845.32,7707.42
14929,Mylan (formerly Matrix) Nashik,Yes,30,9,342.83,1.27,Weight Captured Separately,0.4,Freight Included in Commodity Cost
14931,Bristol-Myers Squibb Anagni IT,Yes,60,1080,43869.6,0.68,282,45.1,1028.1
14941,Mylan (formerly Matrix) Nashik,Yes,30,9000,179100,0.66,1081,386.14,5834.1
14943,"MSD, Haarlem, NL",Yes,180,75,3750,0.28,19,7.35,435
14970,"BMS Meymac, France",Yes,200,192,2417.28,0.06,Weight Captured Separately,5.21,Freight Included in Commodity Cost
14988,"Alere Medical Co., Ltd.",Yes,100,337,29993,0.89,181,42.05,4978.09
15004,GSK Mississauga (Canada),Yes,240,599,11964.63,0.08,Weight Captured Separately,23.45,Freight Included in Commodity Cost
15005,"Trinity Biotech, Plc",Yes,20,8018,256576,1.6,2607,359.72,28595.45
15011,Mylan (formerly Matrix) Nashik,Yes,30,9653,168734.44,0.58,Weight Captured Separately,363.79,Freight Included in Commodity Cost
15012,"Aurobindo Unit III, India",Yes,60,2452,17899.6,0.12,127,29.53,47101.63
15046,"Aurobindo Unit III, India",Yes,30,6,71.03,0.39,Weight Captured Separately,0.07,Freight Included in Commodity Cost
15051,"Trinity Biotech, Plc",Yes,20,2769,88608,1.6,876,124.23,8969.97
15115,"Trinity Biotech, Plc",Yes,20,34,1088,1.6,112,1.12,3196.31
15131,"Alere Medical Co., Ltd.",Yes,100,6000,480000,0.8,2606,593.76,38354.26
15142,"Aurobindo Unit III, India",Yes,30,11510,53751.7,0.16,993,115.89,4263.07
15149,Mylan (formerly Matrix) Nashik,Yes,60,20000,40000,0.03,2806,66,18207.5
15176,"Aurobindo Unit III, India",Yes,30,12000,54120,0.15,Weight Captured Separately,116.68,Freight Included in Commodity Cost
15195,"BMS Meymac, France",Yes,60,270,12501,0.77,59,26.95,180
15240,"Aurobindo Unit III, India",Yes,240,375,2561.25,0.03,300,2.63,2949.23
15241,"Cipla, Goa, India",Yes,30,1368,21995.87,0.54,Weight Captured Separately,27.21,Freight Included in Commodity Cost
15248,"Aurobindo Unit III, India",Yes,60,16300,181745,0.19,2011,356.22,11648.31
15283,"Trinity Biotech, Plc",Yes,20,3662,117184,1.6,1255,193.35,15794.47
15298,"Aurobindo Unit III, India",No,30,7,99.53,0.47,Weight Captured Separately,0.1,Freight Included in Commodity Cost
15352,"Aurobindo Unit III, India",Yes,240,464,858.4,0.01,437,1.06,1222.31
15356,"Trinity Biotech, Plc",Yes,20,35,1120,1.6,12,1.85,646.81
15368,"Aurobindo Unit III, India",Yes,60,24480,58752,0.04,3536,115.15,20910.43
15382,"Alere Medical Co., Ltd.",Yes,100,81,6480,0.8,37,8.02,2190.78
15399,Mylan (formerly Matrix) Nashik,Yes,60,10000,65000,0.11,574,66.82,4760.43
15405,Cipla Ltd A-42 MIDC Mahar. IN,Yes,120,1202,41228.6,0.29,Weight Captured Separately,88.89,Freight Included in Commodity Cost
15423,"Alere Medical Co., Ltd.",Yes,100,1400,112000,0.8,577,138.54,9275.59
15460,Hetero Unit III Hyderabad IN,Yes,30,36831,170159.22,0.15,17826,174.92,20526.23
15499,"Trinity Biotech, Plc",Yes,20,8460,270720,1.6,2753,334.88,25485.81
15554,"Aurobindo Unit III, India",Yes,240,2162,6810.3,0.01,838,14.68,4876.31
15596,Inverness Japan,Yes,100,2342,187360,0.8,1113,309.14,20082.38
15619,Hetero Unit III Hyderabad IN,Yes,30,115,1923.5,0.56,Weight Captured Separately,2.38,Freight Included in Commodity Cost
15625,"Alere Medical Co., Ltd.",Yes,100,4708,376640,0.8,1914,387.19,13489.96
15642,Cipla Ltd A-42 MIDC Mahar. IN,Yes,120,2486,85269.8,0.29,4354,183.84,Freight Included in Commodity Cost
15643,"Trinity Biotech, Plc",Yes,20,2000,64000,1.6,793,105.6,7938.18
15656,"MSD, Haarlem, NL",Yes,60,120,6660,0.92,Weight Captured Separately,7.84,Freight Included in Commodity Cost
15670,"Aurobindo Unit III, India",Yes,60,34595,77838.75,0.04,3642,96.29,31434.31
15687,"Aurobindo Unit III, India",Yes,240,8474,25422,0.01,3206,54.81,2154.51
15695,"Strides, Bangalore, India.",Yes,60,71596,241278.52,0.06,3652,520.2,15236.52
15726,Mylan (formerly Matrix) Nashik,Yes,60,46530,581159.7,0.21,4810,814.79,27894.81
15727,"Novartis Pharma Suffern, USA",Yes,720,1000,39000,0.05,711,64.35,5433.21
15738,ABBVIE Ludwigshafen Germany,Yes,30,400,9304,0.78,40,10.95,642.45
15751,"Alere Medical Co., Ltd.",No,100,228,18240,0.8,See ASN-32231 (ID#:13648),21.47,See ASN-32231 (ID#:13648)
15772,"Aurobindo Unit III, India",Yes,60,30000,313500,0.17,10210,517.28,17392.05
15778,"Alere Medical Co., Ltd.",Yes,100,218,17440,0.8,91,21.57,2082.39
15788,"Alere Medical Co., Ltd.",Yes,1,45,225,5,Weight Captured Separately,0.26,Invoiced Separately
15795,"Aurobindo Unit III, India",No,60,12,216.37,0.3,Weight Captured Separately,0.22,Freight Included in Commodity Cost
15804,Chembio Diagnostics Sys. Inc.,Yes,25,20,1900,3.8,9,2.35,779.06
15813,Hetero Unit III Hyderabad IN,Yes,60,23040,186854.4,0.14,3138,192.09,16537.12
15815,"BMS Meymac, France",No,200,2200,3914.05,0.01,Weight Captured Separately,7.67,Freight Included in Commodity Cost
15825,"Trinity Biotech, Plc",Yes,20,400,12800,1.6,Weight Captured Separately,15.07,Invoiced Separately
15867,"Aurobindo Unit VII, IN",Yes,30,41286,220880.1,0.18,4027,309.67,28833.91
15879,Mylan (formerly Matrix) Nashik,Yes,30,117359,997551.5,0.28,10329,2150.72,32530.22
15894,"Aurobindo Unit III, India",Yes,60,20500,228575,0.19,2904,448.01,14223.39
15909,"Cipla, Goa, India",Yes,30,9612,183096.09,0.64,Weight Captured Separately,358.87,Freight Included in Commodity Cost
15930,"Trinity Biotech, Plc",Yes,20,5264,168448,1.6,1826,363.17,16438.26
15946,"Aurobindo Unit III, India",Yes,30,2600,33800,0.43,236,72.87,1131.48
15984,"Cipla, Goa, India",Yes,30,137654,944306.44,0.23,9147,1558.11,11314.2
15994,"Aurobindo Unit III, India",Yes,240,705,1064.55,0.01,346,1.09,3429.78
15999,"Aurobindo Unit III, India",Yes,60,36426,296143.38,0.14,4609,366.33,17581.92
16044,Chembio Diagnostics Sys. Inc.,Yes,20,1129,32741,1.45,328,54.02,4420.31
16053,Hetero Unit III Hyderabad IN,Yes,60,14011,25920.35,0.03,1953,32.06,3658.08
16071,"Alere Medical Co., Ltd.",Yes,100,1859,165451,0.89,840,231.96,Freight Included in Commodity Cost
16084,"Aurobindo Unit III, India",No,30,1,11.02,0.37,Weight Captured Separately,0.01,Freight Included in Commodity Cost
16085,"Medochemie Factory A, CY",Yes,100,100,8905,0.89,1173,12.48,7019.07
16097,"BMS Meymac, France",Yes,30,18544,340096.96,0.61,1478,666.59,1312.2
16098,Mylan (formerly Matrix) Nashik,Yes,60,3300,13035,0.07,16350,13.4,16028.78
16099,"Aurobindo Unit III, India",Yes,90,1515,15119.7,0.11,201,32.6,4134.92
16104,"Aurobindo Unit III, India",Yes,30,2225,44500,0.67,174,73.42,2052.97
16173,Bristol-Myers Squibb Anagni IT,Yes,60,4132,52683,0.21,1598,86.93,12689.71
16186,"Strides, Bangalore, India.",Yes,60,21858,184044.36,0.14,2777,227.66,4461.72
16213,Chembio Diagnostics Sys. Inc.,Yes,30,414,11426.4,0.92,44,11.75,694.1
16231,"Standard Diagnostics, Korea",Yes,25,10000,200000,0.8,3335,330,23616.68
16232,"Aurobindo Unit III, India",Yes,30,2894,3617.5,0.04,1486,5.07,12749.39
16236,Chembio Diagnostics Sys. Inc.,Yes,20,679,22067.5,1.62,195,22.69,2211.04
16255,"Alere Medical Co., Ltd.",Yes,100,7999,711911,0.89,1378,998.1,14842.19
16277,"Trinity Biotech, Plc",Yes,20,26,832,1.6,17,1.17,334.65
16291,Inverness Japan,Yes,100,2772,255024,0.92,Weight Captured Separately,420.79,Invoiced Separately
16379,"Janssen-Cilag, Latina, IT",Yes,120,27,742.84,0.23,Weight Captured Separately,0.76,Freight Included in Commodity Cost
16391,"Alere Medical Co., Ltd.",Yes,100,100,8900,0.89,Weight Captured Separately,10.48,Invoiced Separately
16398,Cipla Ltd A-42 MIDC Mahar. IN,Yes,120,23240,776216,0.28,6853,1673.52,81246.12
16462,"Janssen-Cilag, Latina, IT",Yes,120,36,2509.54,0.58,Weight Captured Separately,2.58,Freight Included in Commodity Cost
16473,"Standard Diagnostics, Korea",Yes,25,10000,200000,0.8,3335,330,23650.43
16496,Hetero Unit III Hyderabad IN,Yes,60,63200,347600,0.09,4007,357.33,23397.41
